Timestamp(ms),PlayerRotX,PlayerRotY,TargetRotX,TargetRotY,Fired,HitTarget
15914.0,0.613499,89.708412,NA,NA,TRUE,FALSE
15925.0,0.591626,89.686539,14.42787,104.644889,FALSE,NA,
15938.0,0.591626,89.686539,14.42787,104.644889,FALSE,NA,
15951.0,0.591626,89.686539,14.42787,104.644889,FALSE,NA,
15964.0,0.591626,89.752159,14.427781,104.646277,FALSE,NA,
15988.0,1.019645,89.922852,14.42755,104.649887,FALSE,NA,
16003.0,1.415343,89.899765,14.427581,104.649398,FALSE,NA,
16014.0,1.853937,89.712479,14.427834,104.645438,FALSE,NA,
16040.0,3.129314,88.748863,14.429186,104.625114,FALSE,NA,
16053.0,3.746203,87.982292,14.430319,104.609011,FALSE,NA,
16066.0,4.53468,87.143456,14.431616,104.591462,FALSE,NA,
16090.0,5.872706,85.286804,14.434705,104.552898,FALSE,NA,
16103.0,6.410362,84.570549,14.435976,104.53813,FALSE,NA,
16116.0,6.83564,84.153374,14.436736,104.529559,FALSE,NA,
16141.0,7.314587,84.089111,14.436855,104.52824,FALSE,NA,
16152.0,7.443698,84.235977,14.436585,104.531254,FALSE,NA,
16166.0,7.52762,84.608345,14.435908,104.538908,FALSE,NA,
16178.0,7.602093,85.255386,14.43476,104.552249,FALSE,NA,
16203.0,7.83827,87.881508,14.430471,104.606899,FALSE,NA,
16215.0,8.069767,90.248291,14.427118,104.656777,FALSE,NA,
16241.0,9.325006,97.27037,14.420071,104.807448,FALSE,NA,
16253.0,10.390185,100.831703,14.418175,104.884899,FALSE,NA,
16265.0,11.464908,104.60273,14.417409,104.967261,FALSE,NA,
16290.0,13.732373,110.848122,14.418953,105.103576,FALSE,NA,
16303.0,14.668946,113.001564,14.420297,105.150325,FALSE,NA,
16315.0,15.41606,114.391487,14.421385,105.180379,FALSE,NA,
16339.0,16.351597,115.828705,14.42269,105.211338,FALSE,NA,
16351.0,16.636879,116.054871,14.422912,105.216197,FALSE,NA,
16364.0,16.891314,116.142654,14.423,105.218082,FALSE,NA,
16388.0,17.140209,116.186035,14.423043,105.219014,FALSE,NA,
16400.0,17.183954,116.186035,14.423043,105.219014,FALSE,NA,
16412.0,17.205828,116.186035,14.423043,105.219014,FALSE,NA,
16436.0,17.183954,115.97509,14.422833,105.214483,FALSE,NA,
16449.0,17.183954,115.860291,14.422721,105.212017,FALSE,NA,
16472.0,17.112631,115.761391,14.422625,105.209891,FALSE,NA,
16485.0,17.112631,115.673897,14.422541,105.208009,FALSE,NA,
16496.0,17.112631,115.530716,14.422404,105.20493,FALSE,NA,
16521.0,17.069513,114.330261,14.421333,105.179058,FALSE,NA,
16534.0,17.003183,113.252556,14.420481,105.15576,FALSE,NA,
16546.0,16.960075,112.1054,14.419688,105.130895,FALSE,NA,
16570.0,16.651592,110.160934,14.418612,105.08862,FALSE,NA,
16581.0,16.443979,109.185043,14.4182,105.067354,FALSE,NA,
16606.0,15.965904,107.087234,14.417603,105.021563,FALSE,NA,
16618.0,15.773482,106.334595,14.417486,105.005117,FALSE,NA,
16631.0,15.522602,105.803818,14.417434,104.993516,FALSE,NA,
16654.0,14.966393,105.314125,14.417408,104.982812,FALSE,NA,
16666.0,14.789195,105.167763,14.417404,104.979612,FALSE,NA,
16679.0,14.642832,105.055588,14.417403,104.97716,FALSE,NA,
16703.0,14.53683,105.033714,14.417403,104.976682,FALSE,NA,
16715.0,14.53683,105.033714,14.417403,104.976682,FALSE,NA,
