Timestamp(ms),PlayerRotX,PlayerRotY,TargetRotX,TargetRotY,Fired,HitTarget
11968.0,1.17353,87.948944,NA,NA,TRUE,FALSE
11979.0,1.17353,87.948944,6.909271,64.309307,FALSE,NA,
11994.0,1.17353,87.948944,6.909271,64.309307,FALSE,NA,
12005.0,1.17353,87.948944,6.909271,64.309307,FALSE,NA,
12018.0,1.17353,87.948944,6.909271,64.309307,FALSE,NA,
12043.0,1.17353,87.948944,6.909271,64.309307,FALSE,NA,
12055.0,1.17353,87.948944,6.909271,64.309307,FALSE,NA,
12068.0,1.17353,87.948944,6.909271,64.309307,FALSE,NA,
12093.0,1.17353,87.948944,6.909271,64.309307,FALSE,NA,
12106.0,1.17353,87.948944,6.909271,64.309307,FALSE,NA,
12117.0,1.17353,87.948944,6.909271,64.309307,FALSE,NA,
12142.0,1.17353,87.948944,6.909271,64.309307,FALSE,NA,
12154.0,1.17353,87.948944,6.909271,64.309307,FALSE,NA,
12178.0,1.17353,87.948944,6.909271,64.309307,FALSE,NA,
12192.0,1.195403,87.86145,6.909185,64.307674,FALSE,NA,
12205.0,1.308594,87.704384,6.909033,64.304738,FALSE,NA,
12230.0,1.817472,86.820953,6.908194,64.288166,FALSE,NA,
12243.0,2.259135,85.863762,6.90732,64.270094,FALSE,NA,
12256.0,2.829376,84.497612,6.906134,64.244103,FALSE,NA,
12269.0,3.38234,82.481186,6.904516,64.20534,FALSE,NA,
12293.0,4.549846,78.240799,6.901644,64.122459,FALSE,NA,
12305.0,5.11465,75.706421,6.900273,64.072181,FALSE,NA,
12318.0,5.701117,73.942795,6.899473,64.036928,FALSE,NA,
12344.0,6.3599,70.687256,6.898332,63.971396,FALSE,NA,
12357.0,6.587703,69.600845,6.898048,63.949424,FALSE,NA,
12369.0,6.817522,68.995178,6.897911,63.937156,FALSE,NA,
12396.0,7.043972,68.55265,6.89782,63.928186,FALSE,NA,
12407.0,7.065075,68.55265,6.89782,63.928186,FALSE,NA,
12420.0,7.065075,68.508904,6.897812,63.927299,FALSE,NA,
12444.0,6.977584,68.05024,6.897727,63.917996,FALSE,NA,
12458.0,6.899612,67.468544,6.897632,63.90619,FALSE,NA,
12470.0,6.83498,66.460175,6.897502,63.885708,FALSE,NA,
12495.0,6.73138,64.101791,6.89736,63.837753,FALSE,NA,
12508.0,6.691227,63.296852,6.897364,63.82138,FALSE,NA,
12520.0,6.670588,62.80442,6.89738,63.811365,FALSE,NA,
12545.0,6.674829,62.471493,6.897397,63.804594,FALSE,NA,
12558.0,6.674829,62.471493,6.897397,63.804594,FALSE,NA,
12570.0,6.674829,62.471493,6.897397,63.804594,FALSE,NA,
12593.0,6.674829,62.471493,6.897397,63.804594,FALSE,NA,
12607.0,6.674829,62.471493,6.897397,63.804594,FALSE,NA,
12618.0,6.674829,62.558983,6.897392,63.806373,FALSE,NA,
12643.0,6.749114,62.656906,6.897387,63.808365,FALSE,NA,
12655.0,6.826331,62.636406,6.897388,63.807948,FALSE,NA,
12679.0,7.03178,62.568657,6.897392,63.80657,FALSE,NA,
12691.0,7.094795,62.546783,6.897393,63.806125,FALSE,NA,
12704.0,7.094795,62.546783,6.897393,63.806125,TRUE,FALSE
12705.0,7.094795,62.546783,9.159616,101.439998,FALSE,NA,
12729.0,7.094795,62.546783,9.159616,101.439998,FALSE,NA,
12741.0,7.094795,62.546783,9.159616,101.439998,FALSE,NA,
12753.0,7.094795,62.546783,9.159616,101.439998,FALSE,NA,
12779.0,7.094795,62.546783,9.159616,101.439998,FALSE,NA,
12791.0,7.094795,62.546783,9.159616,101.439998,FALSE,NA,
12804.0,7.094795,62.52491,9.159664,101.439619,FALSE,NA,
12827.0,7.094795,62.52491,9.159664,101.439619,FALSE,NA,
12840.0,7.094795,62.52491,9.159664,101.439619,FALSE,NA,
12853.0,7.094795,62.52491,9.159664,101.439619,FALSE,NA,
12877.0,7.072922,62.503036,9.159712,101.439241,FALSE,NA,
12889.0,7.051049,62.503036,9.159712,101.439241,FALSE,NA,
12901.0,7.029176,62.52491,9.159664,101.439619,FALSE,NA,
12926.0,7.007303,63.377529,9.157811,101.454445,FALSE,NA,
12939.0,7.007303,64.708748,9.154988,101.477926,FALSE,NA,
12951.0,7.051048,66.469963,9.151387,101.509598,FALSE,NA,
12976.0,7.231289,72.136269,9.140861,101.61586,FALSE,NA,
12990.0,7.40311,75.555687,9.135319,101.682894,FALSE,NA,
13002.0,7.757562,79.179115,9.130133,101.756008,FALSE,NA,
13027.0,8.548203,86.375542,9.121994,101.906481,FALSE,NA,
13039.0,9.036057,89.64666,9.119268,101.976708,FALSE,NA,
13052.0,9.404058,92.64579,9.117312,102.041843,FALSE,NA,
13077.0,9.854986,98.246071,9.115068,102.164791,FALSE,NA,
13091.0,9.874981,100.455109,9.114689,102.213566,FALSE,NA,
13103.0,9.874981,102.073792,9.114595,102.249345,FALSE,NA,
13128.0,9.790979,103.735817,9.114659,102.286085,FALSE,NA,
13140.0,9.644701,103.86235,9.11467,102.288882,FALSE,NA,
13153.0,9.581434,103.884224,9.114672,102.289365,FALSE,NA,
13177.0,9.472142,103.52903,9.114642,102.281515,FALSE,NA,
13191.0,9.451769,103.272034,9.114624,102.275834,FALSE,NA,
13202.0,9.387521,103.136818,9.114617,102.272846,FALSE,NA,
13227.0,9.286571,103.013756,9.114611,102.270125,FALSE,NA,
13240.0,9.182998,103.013756,9.114611,102.270125,FALSE,NA,
13252.0,9.060477,103.057503,9.114613,102.271092,FALSE,NA,
13277.0,8.707105,103.263725,9.114624,102.275651,FALSE,NA,
13290.0,8.519324,103.435585,9.114635,102.27945,FALSE,NA,
13304.0,8.411914,103.560875,9.114644,102.282219,FALSE,NA,
13326.0,8.336345,103.604622,9.114648,102.283186,FALSE,NA,
13339.0,8.336345,103.604622,9.114648,102.283186,FALSE,NA,
13352.0,8.358217,103.429642,9.114635,102.279318,FALSE,NA,
13377.0,8.598314,102.850967,9.114604,102.266527,FALSE,NA,
13391.0,8.699571,102.622597,9.114598,102.261478,FALSE,NA,
13402.0,8.752272,102.519058,9.114596,102.259189,FALSE,NA,
13428.0,8.804043,102.435875,9.114595,102.25735,TRUE,TRUE
13429.0,8.804043,102.435875,0.457766,101.975164,FALSE,NA,
13440.0,8.804043,102.435875,0.457766,101.975164,FALSE,NA,
13453.0,8.804043,102.435875,0.457766,101.975164,FALSE,NA,
13477.0,8.804043,102.435875,0.457766,101.975164,FALSE,NA,
13488.0,8.804043,102.435875,0.457766,101.975164,FALSE,NA,
13512.0,8.804043,102.435875,0.457766,101.975164,FALSE,NA,
13525.0,8.804043,102.435875,0.457766,101.975164,FALSE,NA,
13536.0,8.804043,102.435875,0.457766,101.975164,FALSE,NA,
